=== task-48 seo-audit — RUN 1 (BEFORE fixes) : live production https://francepassoire.pages.dev — 2026-08-20T22:41:15Z
# Audit SEO — 164 pages du sitemap
Cible de fetch : https://francepassoire.pages.dev (canonical comparé à https://francepassoire.com)

| Page | HTTP | Title | Desc | Canonical | OG | H1 |
| `/fiche/autosur-20250316/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/bloctel-20260812/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/boulanger-20240909/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/bouygues-telecom-20250806/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/bureau-vallee-20260809/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/caf-20240212/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/caisse-des-depots-20250212/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/capgemini-engineering-20260820/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/centre-hospitalier-arles-20210818/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/centre-hospitalier-perpignan-20260720/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/centre-hospitalier-sud-francilien-20220822/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/chronopost-20250212/` | ✓ | ⚠ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/chronopost-20251219/` | ✓ | ⚠ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/colis-prive-20251124/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/coriolis-telecom-20250711/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/croq-vacances-20260715/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/cultura-20240910/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/dedalus-20210214/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/dgfip-20260812/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/education-nationale-20260731/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/eva-gg-20260716/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/experts-entreprendre-20260820/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/ffe-20260708/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/fff-20240326/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/ffgym-20260226/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
